JobId,Title,Employer
149878,Application Security Analyst (Banking Team),25.10.2023 | QUADCODE
149881,Chief Architect,25.10.2023 | QUADCODE
149885,Data Analyst,25.10.2023 | QUADCODE
148184,ANGULAR Developer (M/F),12.10.2023 | AFRICASHORE
148185,DevOps Engineer (M/F),12.10.2023 | AFRICASHORE
148186,DOTNET Developer (M/F),12.10.2023 | AFRICASHORE
148187,IOS Developer (M/F),12.10.2023 | AFRICASHORE
148188,JAVA Developer (M/F),12.10.2023 | AFRICASHORE
148189,JAVA JEE Developer (M/F),12.10.2023 | AFRICASHORE
148190,JAVASCRIPT Developer (M/F),12.10.2023 | AFRICASHORE
148191,KOTLIN Developer (M/F),12.10.2023 | AFRICASHORE
148192,LARAVEL Developer (M/F),12.10.2023 | AFRICASHORE
148193,NODE.JS Developer (M/F),12.10.2023 | AFRICASHORE
148194,OBJECTIVE-C Developer (M/F),12.10.2023 | AFRICASHORE
148195,PHP Developer (M/F),12.10.2023 | AFRICASHORE
148196,PYTHON Developer (M/F),12.10.2023 | AFRICASHORE
148197,QA Tester (M/F),12.10.2023 | AFRICASHORE
148198,REACT Developer (M/F),12.10.2023 | AFRICASHORE
148199,RUBY ON RAILS Developer (M/F),12.10.2023 | AFRICASHORE
148200,SWIFT Developer (M/F),12.10.2023 | AFRICASHORE
148201,Test and Validation Engineer (M/F),12.10.2023 | AFRICASHORE
148202,Test Automation Engineer (M/F),12.10.2023 | AFRICASHORE
148203,UX / UI Designer (M/F),12.10.2023 | AFRICASHORE
148204,AWS Cloud Architect (M/F),12.10.2023 | AFRICASHORE
148205,AWS Solutions Architect (M/F),12.10.2023 | AFRICASHORE
148206,AZURE Solutions Architect (M/F),12.10.2023 | AFRICASHORE
148207,Cloud Architect (M/F),12.10.2023 | AFRICASHORE
148208,Cloud Computing and Virtualization Engineer (M/F),12.10.2023 | AFRICASHORE
148209,Cloud Engineer (M/F),12.10.2023 | AFRICASHORE
148210,Cloud Microservices Architect (M/F),12.10.2023 | AFRICASHORE
148211,Cloud System Administrator (M/F),12.10.2023 | AFRICASHORE
148212,Cloud System Integrator (M/F),12.10.2023 | AFRICASHORE
148213,Cyber Security Engineer (M/F),12.10.2023 | AFRICASHORE
148214,DATASTAGE Architect (M/F),12.10.2023 | AFRICASHORE
148215,GENESYS Architect (M/F),12.10.2023 | AFRICASHORE
148216,Network Architect (M/F),12.10.2023 | AFRICASHORE
148217,DBA IMS/DB2 Z/OS(M/F),12.10.2023 | AFRICASHORE
148218,Z/OS System Engineer Senior Storage(M/F),12.10.2023 | AFRICASHORE
148219,Middleware System Engineer Z/OS (M/F),12.10.2023 | AFRICASHORE
